date,time,competition,round,day,venue,result,goal_scored,goal_conceded,opponent,possession,opponent_possession,attendance,captain,referee,formation,opponent_formation,passing_accuracy_percentage,opponent_passing_accuracy_percentage,total_pass_attempt,opponent_total_pass_attempt,successful_pass,opponent_successful_pass,shots_on_target_percentage,opponent_shots_on_target_percentage,shots_on_target_attempt,opponent_shots_on_target_attempt,successful_shots_on_target,opponent_successful_shots_on_target,saves_percentage,opponent_saves_percentage,saves_attempt,opponent_saves_attempt,successful_saves,opponent_successful_saves,yellow_card,opponent_yellow_card,yellow_red_card,opponent_yellow_red_card,red_card,opponent_red_card,fouls,opponent_fouls,crosses,opponent_crosses,touches,opponent_touches,tackles,opponent_tackles,interceptions,opponent_interceptions,aerials_won,opponent_aerials_won,clearances,opponent_clearances,offsides,opponent_offsides,goal_kicks,opponent_goal_kicks,throw_ins,opponent_throw_ins,notes
2022-02-17,18:45,Europa Lg,Knockout round play-offs,Thu,Home,D,1,1,Napoli,67,33,73525,Gerard Piqué,István Kovács,4-3-3,4-2-3-1,87.33,78.73,797,395,696,311,20.0,100.0,20,4,4,4,0.0,0.0,4,4,0,0,0,4,0,0,0,0,15,11,18,8,916,535,19,22,17,28,10,13,8,26,1,4,2,13,26,17,Leg 1 of 2
2022-02-20,16:15,La Liga,Matchweek 25,Sun,Away,W,4,1,Valencia,64,36,38315,Sergio Busquets,Carlos del Cerro,4-3-3,4-4-2,83.88,68.49,515,292,432,200,85.71,45.45,7,11,6,5,0.0,0.0,5,6,0,0,4,3,0,0,0,0,16,22,9,13,642,410,14,24,13,18,14,17,29,18,1,2,9,1,22,22,
2022-02-24,21:00,Europa Lg,Knockout round play-offs,Thu,Away,W,4,2,Napoli,55,45,37858,Sergio Busquets,Sergey Karasev,4-3-3,4-2-3-1,89.75,83.68,595,478,534,400,37.5,33.33,16,6,6,2,0.0,0.0,2,6,0,0,1,2,0,0,0,0,7,21,9,8,704,567,12,20,15,9,3,8,7,10,3,6,7,12,14,11,Leg 2 of 2; Barcelona won
2022-02-27,21:00,La Liga,Matchweek 26,Sun,Home,W,4,0,Athletic Club,71,29,69770,Sergio Busquets,Guillermo Cuadra,4-3-3,4-4-2,89.61,76.08,837,347,750,264,41.18,50.0,17,6,7,3,0.0,0.0,3,7,0,0,2,1,0,0,0,0,9,13,21,6,943,461,14,14,17,19,12,11,6,26,4,3,1,7,19,19,
2022-03-06,16:15,La Liga,Matchweek 27,Sun,Away,W,2,1,Elche,67,33,30146,Sergio Busquets,Alejandro Hernández,4-3-3,4-4-2,84.07,67.79,615,298,517,202,36.84,21.43,19,14,7,3,0.0,0.0,3,7,0,0,6,2,0,0,0,1,11,14,18,11,728,428,18,19,13,11,16,8,16,28,4,3,11,14,15,16,
2022-03-10,21:00,Europa Lg,Round of 16,Thu,Home,D,0,0,Galatasaray,68,32,61740,Jordi Alba,Benoît Bastien,4-3-3,4-2-3-1,83.1,76.65,704,334,585,256,26.67,33.33,15,3,4,1,0.0,0.0,1,4,0,0,2,2,0,0,0,0,10,14,28,4,792,482,13,25,8,34,11,14,2,30,1,4,1,8,25,11,Leg 1 of 2
2022-03-13,21:00,La Liga,Matchweek 28,Sun,Home,W,4,0,Osasuna,72,28,54507,Sergio Busquets,Ricardo de Burgos,4-3-3,4-4-1-1,91.03,76.47,925,357,842,273,34.78,75.0,23,4,8,3,0.0,0.0,3,8,0,0,0,4,0,0,0,0,9,10,17,5,1026,461,17,17,14,21,8,17,5,14,4,3,3,14,20,10,
2022-03-17,20:45,Europa Lg,Round of 16,Thu,Away,W,2,1,Galatasaray,66,34,50110,Sergio Busquets,Daniele Orsato,4-3-3,4-2-3-1,87.19,74.73,718,368,626,275,21.05,33.33,19,9,4,3,0.0,0.0,3,4,0,0,4,3,0,0,0,0,7,16,13,5,819,470,17,22,15,19,9,18,9,10,2,2,4,13,9,13,Leg 2 of 2; Barcelona won
2022-03-20,21:00,La Liga,Matchweek 29,Sun,Away,W,4,0,Real Madrid,60,40,60017,Sergio Busquets,Juan Martínez,4-3-3,4-4-1-1,89.17,86.07,720,488,642,420,55.56,28.57,18,14,10,4,0.0,0.0,4,10,0,0,4,4,0,0,0,0,16,16,4,6,813,599,17,12,8,28,12,8,8,7,0,0,7,3,13,6,
2022-04-03,21:00,La Liga,Matchweek 30,Sun,Home,W,1,0,Sevilla,56,44,76112,Sergio Busquets,José Sánchez,4-3-3,4-2-3-1,86.05,83.75,602,480,518,402,36.84,37.5,19,8,7,3,0.0,0.0,3,7,0,0,3,3,0,0,0,0,12,10,26,6,703,603,26,15,12,13,12,10,6,24,2,1,5,11,16,12,
2022-04-07,21:00,Europa Lg,Quarter-finals,Thu,Away,D,1,1,Eint Frankfurt,66,34,48000,Sergio Busquets,Srđan Jovanović,4-3-3,3-4-3,83.31,67.69,683,359,569,243,57.14,31.25,7,16,4,5,0.0,0.0,5,4,0,0,0,4,0,1,0,0,5,19,11,20,815,475,14,27,26,20,13,9,18,18,1,5,4,11,18,23,Leg 1 of 2
2022-04-10,21:00,La Liga,Matchweek 31,Sun,Away,W,3,2,Levante,63,37,20785,Sergio Busquets,José Luis Munuera,4-3-3,3-5-2,86.94,77.72,674,395,586,307,50.0,37.5,14,8,7,3,0.0,0.0,3,7,0,0,1,1,0,0,0,0,8,10,14,10,773,486,16,7,9,9,16,9,12,16,4,0,4,6,11,20,
2022-04-14,21:00,Europa Lg,Quarter-finals,Thu,Home,L,2,3,Eint Frankfurt,75,25,79468,Sergio Busquets,Artur Dias,4-3-3,3-4-3,87.3,66.67,748,255,653,170,33.33,42.86,9,14,3,6,0.0,0.0,6,3,0,0,3,6,0,1,0,0,9,20,26,6,862,383,11,26,14,19,16,14,8,22,2,2,7,7,31,17,Leg 2 of 2; Eint Frankfurt won
2022-04-18,21:00,La Liga,Matchweek 32,Mon,Home,L,0,1,Cádiz,74,26,57495,Sergio Busquets,Santiago Jaime,4-3-3,4-2-3-1,87.82,63.18,739,258,649,163,40.0,66.67,20,6,8,4,0.0,0.0,4,8,0,0,4,1,0,0,0,0,18,18,23,4,864,389,18,18,13,16,16,16,10,35,0,5,6,12,18,13,
2022-04-21,21:30,La Liga,Matchweek 33,Thu,Away,W,1,0,Real Sociedad,45,55,35128,Sergio Busquets,Carlos del Cerro,4-3-3,4-4-2,78.67,81.77,483,598,380,489,8.33,62.5,12,8,1,5,0.0,0.0,5,1,0,0,2,1,0,0,0,0,15,13,7,15,621,726,19,23,20,16,19,20,34,17,5,0,7,9,27,28,
2022-04-24,21:00,La Liga,Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,70,30,57023,Sergio Busquets,Isidro Díaz de Mera,4-3-3,4-2-3-1,82.63,69.9,691,299,571,209,21.05,25.0,19,4,4,1,0.0,0.0,1,4,0,0,4,6,0,0,0,0,9,19,22,4,800,439,22,21,14,16,23,11,10,28,6,2,3,10,27,22,
2022-05-01,21:00,La Liga,Matchweek 34,Sun,Home,W,2,1,Mallorca,70,30,62789,Sergio Busquets,Pablo González,4-3-3,3-4-3,86.1,73.38,712,308,613,226,29.41,37.5,17,8,5,3,0.0,0.0,3,5,0,0,2,3,0,0,0,0,15,19,15,2,803,415,13,5,11,19,12,14,7,26,6,2,5,10,24,17,
2022-05-07,21:00,La Liga,Matchweek 35,Sat,Away,W,2,1,Betis,57,43,46132,Sergio Busquets,Antonio Matéu Lahoz,4-3-3,4-2-3-1,85.21,80.59,541,407,461,328,45.45,35.71,11,14,5,5,0.0,0.0,5,5,0,0,2,1,0,0,0,0,20,16,17,4,650,528,15,17,18,15,13,11,10,16,5,1,6,12,11,16,
2022-05-10,21:30,La Liga,Matchweek 36,Tue,Home,W,3,1,Celta Vigo,54,46,55899,Jordi Alba,Miguel Ángel Ortiz Arias,4-2-3-1,4-4-2,87.52,82.48,585,508,512,419,40.0,35.71,10,14,4,5,0.0,0.0,5,4,0,0,3,0,0,0,0,1,20,5,11,5,697,615,15,22,19,17,5,7,13,9,1,3,2,12,22,18,
2022-05-15,19:30,La Liga,Matchweek 37,Sun,Away,D,0,0,Getafe,71,29,13072,Sergio Busquets,Jesús Gil,4-3-3,3-5-2,91.77,80.16,899,373,825,299,20.0,33.33,5,9,1,3,0.0,0.0,3,1,0,0,2,1,0,0,0,0,11,12,10,6,982,461,11,15,8,11,15,13,6,13,1,1,4,6,13,17,
2022-05-22,22:00,La Liga,Matchweek 38,Sun,Home,L,0,2,Villarreal,70,30,54850,Sergio Busquets,José Luis Munuera,4-3-3,4-4-2,86.96,77.91,744,326,647,254,20.0,75.0,15,4,3,3,0.0,0.0,3,3,0,0,3,1,0,0,0,0,13,10,21,6,815,442,13,10,16,11,11,14,2,36,5,0,2,9,13,15,
